file_id,company,start_time,bucket,category,label,description,evidence_count,customer_quotes,voxel_quotes,voice_ratio,is_platform_item,weak_evidence
01c88a52-b251-43eb-bdd9-51c94643c04e,Voxel Training- Cassidy @ Cedar Brook Foods,2022-03-29 18:00:00+00:00,safety,PIT-PIT proximity,PIT-to-PIT proximity monitoring,"Monitor and analyze forklift-to-forklift proximity events to track safety risk trends, camera hotspots, and peak times at the site.",2,0,2,0.0,False,False
01c88a52-b251-43eb-bdd9-51c94643c04e,Voxel Training- Cassidy @ Cedar Brook Foods,2022-03-29 18:00:00+00:00,safety,Other,Safety trend review and recommendations,Conduct regular reviews of incident trends detected by Voxel to identify opportunities and recommend changes for improving site safety.,2,0,2,0.0,False,False
01c88a52-b251-43eb-bdd9-51c94643c04e,Voxel Training- Cassidy @ Cedar Brook Foods,2022-03-29 18:00:00+00:00,nonsafety,Incident investigation,Video footage retrieval,Retrieve camera footage from the platform as needed.,1,1,0,1.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,safety,Obstruction & housekeeping,Housekeeping: product on floor and palletization,Address frequent product left on the floor by ensuring items are staged on pallets to reduce safety hazards.,3,0,3,0.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,safety,Ergonomics,Ergonomic overreach prevention,Reduce high overreach by properly palletizing and staging product instead of pushing items on the floor.,2,0,2,0.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,safety,Other,Safe tool use for packaging (no tearing tape with teeth),Prevent injuries from tearing tape with teeth by using the proper hand wrap tool.,3,0,3,0.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,safety,Other,PIT use compliance for material movement,Encourage use of powered industrial trucks when moving items instead of manual handling to reduce risk.,1,0,1,0.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,safety,Other,Timely corrective actions and due dates for high-severity safety events,Use Voxel actions with defined due dates to ensure prompt closure of high-risk safety items per SOPs.,5,2,3,0.4,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,nonsafety,Platform & adoption,Supervisor training and adoption support,"Provide targeted, condensed training and outreach to supervisors—especially non-users—to make Voxel usage consistent and efficient.",4,1,3,0.25,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,nonsafety,Analytics & reporting,Usage analytics to monitor and pinpoint adoption,Leverage the new homepage data to see who is logging in and use it to pinpoint managers and drive accountability.,2,2,0,1.0,False,False
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,2024-06-22 20:30:00+00:00,nonsafety,Coaching & action workflow,Voxel-assigned actions to drive engagement and accountability,Have the Voxel team assign low-hanging fruit actions to specific supervisors with Tara CC’d to help drive the work and re-engage users.,3,0,3,0.0,False,False
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,2022-06-30 13:00:00+00:00,safety,Intersection compliance,Forklift collision and intersection compliance monitoring,Detect and alert on PIT-to-PIT and PIT-to-pedestrian proximity and failures to stop at intersections to prevent warehouse collisions.,2,0,2,0.0,False,False
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,2022-06-30 13:00:00+00:00,safety,Other,Suspended load hazard detection,Monitor and alert when people are under or near suspended loads to prevent severe or fatal injuries.,2,0,2,0.0,False,False
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,2022-06-30 13:00:00+00:00,safety,PPE compliance,PPE compliance monitoring (hard hats/vests),Ensure workers wear required PPE such as hard hats and high-visibility vests at industrial sites like ports.,1,0,1,0.0,False,False
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,2022-06-30 13:00:00+00:00,safety,Spill & floor hazard,Retail floor hazard detection,Detect floor hazards and notify staff to reduce customer-facing risk in stores and other high-risk zones.,3,0,3,0.0,False,False
